time_stamp,height_baro_1,height_baro_2,temperature_baro_1,temperature_baro_2,acceleration_x_imu_1,acceleration_y_imu_1,acceleration_z_imu_1,acceleration_x_imu_2,acceleration_y_imu_2,acceleration_z_imu_2,gyro_x_imu_1,gyro_y_imu_1,gyro_z_imu_1,gyro_x_imu_2,gyro_y_imu_2,gyro_z_imu_2,recovery_pressure_a,recovery_pressure_b
0.0,5.870037516929301,3.4360317580382542,32.248863220214844,32.35953903198242,-9.421912087912089,-0.9414725274725276,2.184791208791209,-9.67345054945055,-0.6396263736263736,0.34496703296703296,-0.1983642578125,0.7171630859375,0.18310546875,-0.46539306640625,-0.00762939453125,0.7781982421875,-28561,-28818
0.080026,5.484784842931816,3.446530424381109,32.25340270996094,32.364097595214844,-9.666263736263737,-0.9702197802197802,-3.44967032967033,-9.759692307692308,-0.4527692307692308,-1.3654945054945056,-0.23651123046875,-0.84686279296875,-1.6937255859375,-0.26702880859375,-0.14495849609375,0.20599365234375,-28551,-28768
0.29703,5.736149108742197,3.9622904615514187,32.255672454833984,32.37321090698242,-9.910615384615385,-0.36652747252747253,-0.6324395604395605,-9.594395604395604,-0.7330549450549451,-0.2371648351648352,0.7781982421875,-0.25177001953125,0.14495849609375,0.091552734375,0.48828125,0.49591064453125,-28551,-28732
0.337043,5.736149108742197,3.322515605206803,32.255672454833984,32.375492095947266,-9.421912087912089,-0.9414725274725276,-0.20123076923076924,-9.802813186813188,-0.5174505494505495,1.113956043956044,-0.2593994140625,0.9765625,0.1373291015625,-1.2664794921875,0.67138671875,-0.1373291015625,-28587,-28749
0.377056,5.493972985843087,3.5856387543039716,32.25794219970703,32.382328033447266,-9.393164835164836,-0.883978021978022,1.300813186813187,-9.65189010989011,-0.7977362637362638,0.20841758241758243,0.54168701171875,0.52642822265625,0.98419189453125,-0.1678466796875,0.8544921875,-0.0152587890625,-28568,-28856
0.417069,5.601606121777877,3.277896878677666,32.262481689453125,32.377769470214844,-10.154967032967035,-0.7761758241758242,-3.9168131868131875,-9.65189010989011,-0.4743296703296704,-1.839824175824176,0.87738037109375,-0.4119873046875,0.2288818359375,0.0152587890625,-0.67138671875,-0.5645751953125,-28568,-28845
0.457082,6.031493478989503,3.5206775572728475,32.255672454833984,32.375492095947266,-9.975296703296703,-0.8121098901098901,-4.470197802197802,-9.766879120879121,-0.30903296703296707,-2.227912087912088,0.57220458984375,-0.48828125,-0.31280517578125,0.6103515625,0.48065185546875,1.52587890625,-28527,-28708
0.497095,5.583885955701177,3.5652973257283236,32.25340270996094,32.37321090698242,-9.730945054945055,-0.7330549450549451,-0.7833626373626373,-9.730945054945055,-0.2946593406593407,-0.6971208791208792,0.1983642578125,-0.6103515625,-0.23651123046875,-0.55694580078125,0.31280517578125,-0.4425048828125,-28545,-28782
0.537108,5.556977613113304,3.243120651074733,32.26475143432617,32.38460922241211,-9.623142857142858,-0.5821318681318681,-0.5821318681318681,-9.65189010989011,-0.7546153846153847,-1.1570769230769231,0.41961669921875,0.60272216796875,0.579833984375,-0.7476806640625,1.007080078125,-0.91552734375,-28524,-28796
0.57712,5.458533050795424,3.243120651074733,32.26475143432617,32.38460922241211,-9.752505494505495,-0.6683736263736263,-1.078021978021978,-9.716571428571429,-0.5677582417582419,-0.4815164835164835,-0.42724609375,0.0152587890625,-0.67901611328125,-0.1983642578125,0.22125244140625,-0.63323974609375,-28598,-28831
0.617133,5.592417883746464,3.684721765797903,32.25794219970703,32.382328033447266,-9.766879120879121,-0.7186813186813188,-0.8696043956043957,-9.730945054945055,-0.5461978021978022,-0.6827472527472528,-0.00762939453125,-1.48773193359375,0.16021728515625,-0.72479248046875,0.72479248046875,0.2288818359375,-28544,-28770
0.777182,5.74468116174738,3.531176309094377,32.26021194458008,32.38005065917969,-10.061538461538461,-0.804923076923077,-4.427076923076924,-9.644703296703296,-0.7546153846153847,0.3018461538461539,-0.11444091796875,1.190185546875,0.54168701171875,-0.17547607421875,0.43487548828125,0.55694580078125,-28540,-28844
0.839616,5.700052038894341,3.739841200816798,32.262481689453125,32.38460922241211,-9.479406593406594,-0.9342857142857143,0.8624175824175825,-9.917802197802198,-0.31621978021978026,-1.9620000000000002,0.23651123046875,-2.38037109375,-0.14495849609375,0.213623046875,0.26702880859375,-0.6866455078125,-28588,-28788
1.199731,5.512349296017817,4.0718763605325705,32.26702117919922,32.377769470214844,-9.982483516483516,-0.6180659340659341,-4.39832967032967,-9.752505494505495,-0.4024615384615385,-2.7597362637362637,0.7476806640625,0.02288818359375,0.02288818359375,0.3204345703125,-1.1138916015625,-0.98419189453125,-28568,-28815
1.239744,5.80768730840002,3.595481395327141,32.26702117919922,32.38688659667969,-9.544087912087912,-0.7474285714285716,2.4435164835164835,-9.874681318681318,-0.20123076923076924,-1.2864395604395606,0.6561279296875,-0.030517578125,-0.1678466796875,0.19073486328125,1.8768310546875,0.54168701171875,-28578,-28773
1.279757,5.556977613113304,3.2877392283606923,32.26475143432617,32.382328033447266,-9.774065934065934,-0.6468131868131869,1.3870549450549452,-9.752505494505495,-0.5030769230769231,-2.306967032967033,0.35858154296875,-0.152587890625,0.28228759765625,-0.34332275390625,-0.0457763671875,-0.213623046875,-28551,-28786
1.319768,5.458533050795424,3.6302588015543904,32.26475143432617,32.38005065917969,-9.529714285714286,-0.8696043956043957,-2.45789010989011,-9.874681318681318,-0.46714285714285714,-2.881912087912088,-1.09100341796875,-0.75531005859375,-0.4119873046875,-0.54168701171875,0.823974609375,-0.99945068359375,-28555,-28799
