,time_stamp,baro_1,baro_2,height_baro_1,height_baro_2,temperature_baro_1,temperature_baro_2,acceleration_x_imu_1,acceleration_y_imu_1,acceleration_z_imu_1,acceleration_x_imu_2,acceleration_y_imu_2,acceleration_z_imu_2,gyro_x_imu_1,gyro_y_imu_1,gyro_z_imu_1,gyro_x_imu_2,gyro_y_imu_2,gyro_z_imu_2
116525,0.020027,0.9787062,0.9785892,39405.56635092889,39405.678381903,43.44144,41.633827,-9.687824175824176,-0.2802857142857143,-0.3593406593406594,-9.565648351648353,-1.1283296703296704,-0.0215604395604395,-0.35858154296875,1.41143798828125,1.800537109375,0.64849853515625,0.81634521484375,-0.2593994140625
116526,0.060044,0.9787495,0.97859945,39405.52489264243,39405.668566790206,43.439102,41.638477,-9.845934065934069,-0.8121098901098901,-0.0934285714285714,-9.860307692307693,-0.7330549450549451,-0.0215604395604395,0.25177001953125,-0.67901611328125,-0.46539306640625,-0.35858154296875,-0.78582763671875,0.41961669921875
116527,0.100063,0.9786888,0.9786457,39405.583011259085,39405.62428012131,43.439102,41.643124,-9.69501098901099,-0.8264835164835166,-0.079054945054945,-9.73813186813187,-0.8696043956043957,-0.2587252747252747,0.396728515625,-0.1220703125,0.45013427734375,-0.6103515625,-0.6103515625,-0.67138671875
116528,0.140188,0.97867664,0.9786476,39405.59465448279,39405.62246081331,43.439102,41.638477,-9.845934065934069,-0.7330549450549451,-0.0574945054945055,-9.76687912087912,-0.8336703296703297,-0.114989010989011,0.579833984375,-1.31988525390625,-0.89263916015625,-0.05340576171875,-0.48828125,-0.51116943359375
116529,0.180026,0.9786957,0.9787129,39405.576404547726,39405.55993580823,43.43676,41.6408,-9.709384615384616,-0.7402417582417582,-0.0862417582417582,-9.83156043956044,-0.9127252747252748,-0.1006153846153846,0.46539306640625,0.54931640625,0.030517578125,0.26702880859375,0.54168701171875,-0.78582763671875
116530,0.220028,0.97872875,0.9786749,39405.544759880766,39405.59632054576,43.44612,41.645447,-9.788439560439562,-0.8911648351648351,-0.2227912087912087,-9.702197802197803,-0.7330549450549451,-0.1006153846153846,-0.3814697265625,-1.39617919921875,-0.54931640625,0.8392333984375,-0.92315673828125,0.6866455078125
116531,0.260053,0.97872875,0.97858234,39405.544759880766,39405.68495089329,43.44612,41.63615,-9.76687912087912,-0.6899340659340659,-0.1437362637362637,-9.81,-0.7618021978021978,-0.2084175824175824,0.00762939453125,-0.25177001953125,-0.63323974609375,0.84686279296875,-0.335693359375,0.84686279296875
116532,0.300061,0.9787079,0.9786078,39405.56472320834,39405.66057112571,43.43676,41.647774,-9.867494505494506,-0.7905494505494507,0.0287472527472527,-9.76687912087912,-0.6971208791208792,-0.1078021978021978,0.52642822265625,-0.3509521484375,0.11444091796875,0.16021728515625,-0.030517578125,-0.2899169921875
116533,0.380069,0.9786455,0.9785925,39405.624471627576,39405.675221906386,43.44144,41.6408,-9.996857142857143,-0.8767912087912089,-0.2227912087912087,-10.01123076923077,-0.2946593406593407,-0.1581098901098901,-0.3204345703125,-0.8087158203125,0.1068115234375,-1.10626220703125,-0.2288818359375,-1.53350830078125
116534,0.420053,0.978675,0.9786406,39405.59622479495,39405.629163541125,43.443783,41.6408,-9.572835164835166,-0.459956043956044,-0.1293626373626373,-10.298703296703298,-0.4958901098901099,0.0143736263736263,-0.3509521484375,-0.5645751953125,0.0,0.11444091796875,0.17547607421875,1.2359619140625
116535,0.500104,0.9786976,0.9787008,39405.574585314986,39405.571521350525,43.448463,41.6408,-9.81,-1.451736263736264,-0.1006153846153846,-9.393164835164836,-1.034901098901099,-0.2084175824175824,-0.28228759765625,-0.95367431640625,-0.335693359375,0.335693359375,0.19073486328125,-0.09918212890625
116536,0.54004,0.9787097,0.97865086,39405.56299974202,39405.619339270466,43.448463,41.645447,-9.83156043956044,-0.2156043956043956,0.0143736263736263,-10.269956043956045,-0.2802857142857143,-0.1652967032967033,0.14495849609375,0.12969970703125,0.6561279296875,-0.52642822265625,1.617431640625,0.81634521484375
116537,0.580065,0.9786698,0.9786267,39405.6012038476,39405.642473358566,43.44144,41.645447,-9.83156043956044,-0.5965054945054945,-0.194043956043956,-9.500967032967033,-0.9270989010989013,-0.229978021978022,0.9002685546875,-0.78582763671875,0.83160400390625,0.72479248046875,0.63323974609375,-0.7171630859375
116538,0.620041,0.9787149,0.9786559,39405.55802085373,39405.61451334349,43.4508,41.647774,-9.587208791208791,-0.7833626373626373,-0.194043956043956,-10.32745054945055,-0.2874725274725275,-0.0143736263736263,0.29754638671875,0.5340576171875,0.0457763671875,0.1373291015625,-0.38909912109375,-1.068115234375
116539,0.740054,0.9787011,0.9786471,39405.571234104274,39405.622939578294,43.455482,41.654743,-9.644703296703296,-0.2515384615384615,-0.114989010989011,-9.580021978021978,-0.6396263736263736,-0.2443516483516483,-0.06866455078125,0.244140625,-0.03814697265625,0.19073486328125,0.35858154296875,-0.4425048828125
116540,0.780039,0.97867164,0.97865914,39405.59944202652,39405.611410972495,43.45314,41.654743,-9.745318681318684,-0.3377802197802198,-0.1006153846153846,-9.170373626373626,-1.3439340659340662,-0.2443516483516483,0.16021728515625,0.0152587890625,1.190185546875,-0.030517578125,-0.457763671875,-0.1678466796875
116541,0.82004,0.97867516,0.9787004,39405.596071593674,39405.57190434564,43.460163,41.657066,-9.687824175824176,-0.9774065934065936,-0.0862417582417582,-9.781252747252749,-0.5605714285714286,-0.2084175824175824,0.63323974609375,-0.35858154296875,0.1373291015625,-0.09918212890625,0.09918212890625,0.0
